beschreibung_id,modell,sprache,subgruppe,frage_id,dimension,wiederholung,beschreibung
openai-gpt-5.4_EN_Hardline-Principlists_Q01_W1,openai/gpt-5.4,EN,Hardline-Principlists,Q01,offen,1,"Hardline Principlists in Iran are conservative political actors who view the nuclear program as a matter of national sovereignty, revolutionary independence, and strategic deterrence. They generally insist that Iran has an absolute right under the Nuclear Non-Proliferation Treaty to pursue uranium enrichment and advanced nuclear technology for peaceful purposes, and they resist Western demands for major limits. Many portray the program as a symbol of scientific progress and national dignity, arguing that concessions invite foreign pressure rather than relief. In domestic politics, they have often criticized negotiations with the United States and Europe, especially agreements seen as restricting Iran’s capabilities, such as the 2015 nuclear deal. While not always rejecting diplomacy outright, they typically favor a tougher approach, greater self-reliance, and stronger nuclear infrastructure over compromise with outside powers."
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1,openai/gpt-5.4,EN,Hardline-Principlists,Q02,NR,1,"Hardline Principlists in Iran generally view the nuclear program as a sovereign national right, a symbol of technological progress, and an issue tied to national dignity and resistance to foreign pressure. They strongly support maintaining and expanding Iran’s nuclear capabilities, especially uranium enrichment, and reject demands from Western powers that they see as unjust or humiliating. While they usually insist that Iran’s program is for peaceful purposes, many are skeptical of international inspections or negotiated limits if these appear to weaken Iran’s independence or deterrent strength. In practice, they tend to oppose major concessions in nuclear talks and criticize reformists or moderates who favor compromise with the United States or Europe, arguing that firmness better protects Iran’s security, revolutionary values, and regional standing."
openai-gpt-5.4_EN_Hardline-Principlists_Q03_W1,openai/gpt-5.4,EN,Hardline-Principlists,Q03,NS,1,"Hardline Principlists in Iran generally view the Iranian nuclear program as a symbol of national sovereignty, scientific self-sufficiency, and resistance to foreign pressure. They argue that mastering nuclear technology demonstrates Iran’s right to advanced science and confirms its status as an independent regional power. In their perspective, the program is not only about energy or technical capability but also about defending the country’s dignity against Western attempts to limit Iran’s progress. Many hardline Principlists treat concessions on the nuclear issue as signs of weakness, believing that compromise invites further external demands. They often portray the program as a legitimate and legal national achievement under international law, while emphasizing that Iran should not trust Western powers in negotiations. For them, protecting the nuclear program is closely tied to preserving the ideals of the Islamic Revolution and national resistance."
openai-gpt-5.4_EN_Hardline-Principlists_Q04_W1,openai/gpt-5.4,EN,Hardline-Principlists,Q04,EC,1,"Hardline Principlists in Iran generally view the nuclear program as a core symbol of national sovereignty, revolutionary independence, and resistance to Western pressure. They tend to support maintaining and advancing nuclear capabilities, including enrichment, as a sovereign right under the Nuclear Non-Proliferation Treaty. Politically, they use the issue to defend Iran’s strategic deterrence, strengthen national pride, and reinforce the legitimacy of the Islamic Republic’s anti-Western posture. Many are skeptical of negotiations with the United States and European powers, arguing that concessions invite further pressure rather than sanctions relief or security guarantees. They therefore often oppose strict limits, intrusive inspections beyond formal obligations, or agreements they believe weaken Iran’s autonomy. At the same time, they usually frame their position as supporting peaceful nuclear technology while preserving the option of technological self-sufficiency and regional influence."
openai-gpt-5.4_EN_Hardline-Principlists_Q05_W1,openai/gpt-5.4,EN,Hardline-Principlists,Q05,SF,1,"Hardline Principlists in Iran typically view negotiations over the nuclear program with deep suspicion, seeing them as a potential vehicle for Western pressure, humiliation, and limits on Iran’s sovereignty. They generally frame the nuclear program as a legitimate national right under the Non-Proliferation Treaty and as a symbol of scientific progress, independence, and resistance to foreign domination. From this perspective, major concessions to the United States or European powers are often portrayed as naive or dangerous, especially if sanctions relief is uncertain or reversible. Hardline Principlists tend to argue that Iran should negotiate only from a position of strength, preserve its nuclear infrastructure and enrichment capabilities, and avoid agreements that allow intrusive oversight or long-term restrictions they believe undermine national dignity, security, or revolutionary principles."
openai-gpt-5.4_EN_IRGC-Securocrats_Q01_W1,openai/gpt-5.4,EN,IRGC-Securocrats,Q01,offen,1,"The Islamic Revolutionary Guard Corps (IRGC) and Iran’s broader security establishment are central power centers in the Islamic Republic and strongly shape policy around the nuclear program. They generally view nuclear technology as a matter of national sovereignty, deterrence, and regime security, especially given Iran’s rivalry with the United States, Israel, and regional adversaries. While civilian nuclear institutions formally manage much of the program, the IRGC has major influence over strategic decision-making, missile development, procurement networks, and protection of sensitive facilities. Security institutions are typically skeptical of Western intentions and often resist limits they believe could weaken Iran’s leverage or expose it to pressure. At the same time, they have at times accepted negotiated constraints, such as under the 2015 nuclear deal, when these were seen as preserving core capabilities while reducing immediate economic and military risks."
openai-gpt-5.4_EN_IRGC-Securocrats_Q02_W1,openai/gpt-5.4,EN,IRGC-Securocrats,Q02,NR,1,"The IRGC and Iran’s broader security establishment generally support maintaining and advancing the nuclear program as a core element of national power, deterrence, and strategic autonomy. They frame it as Iran’s sovereign right under the Nuclear Non-Proliferation Treaty and as protection against foreign pressure, especially from the United States and Israel. While Iranian officials often insist the program is for peaceful purposes, hardline security circles tend to resist limits they believe could weaken Iran’s technological base or deterrent capacity. They have usually viewed negotiations and agreements such as the JCPOA with caution, supporting them only insofar as they reduce pressure without constraining Iran too heavily. Overall, their position emphasizes self-reliance, preserving nuclear infrastructure, and keeping open capabilities that enhance Iran’s regional leverage and security posture."
openai-gpt-5.4_EN_IRGC-Securocrats_Q03_W1,openai/gpt-5.4,EN,IRGC-Securocrats,Q03,NS,1,"The IRGC and Iran’s broader security establishment generally view the nuclear program as a strategic national asset tied to deterrence, regime survival, and great-power status. They see mastery of the nuclear fuel cycle, enrichment, and related technologies as proof of Iran’s scientific self-sufficiency and resistance to foreign pressure, especially from the United States and Israel. Even when not openly advocating weaponization, many in this camp regard a robust nuclear infrastructure as creating “threshold” capability that strengthens Iran’s bargaining position and complicates adversaries’ military calculations. The program is also framed domestically as a symbol of sovereignty and revolutionary endurance. For the security establishment, therefore, the issue is not only energy or research, but also strategic leverage, prestige, and protection against coercion, sanctions, and perceived existential threats."
openai-gpt-5.4_EN_IRGC-Securocrats_Q04_W1,openai/gpt-5.4,EN,IRGC-Securocrats,Q04,EC,1,"The IRGC and Iran’s broader security establishment generally view the nuclear program through the lens of regime survival, deterrence, and strategic autonomy. They support maintaining an advanced nuclear infrastructure because it strengthens Iran’s bargaining position, symbolizes technological self-sufficiency, and reduces dependence on foreign powers. Even short of building a weapon, preserving the capability to move closer to one can create strategic ambiguity that may deter external attack, especially from the United States or Israel. The program also serves domestic political interests: it reinforces nationalist narratives, justifies a strong security state, and channels resources, contracts, and influence to military-linked institutions and firms. At the same time, these actors often weigh the benefits of nuclear advancement against the risks of war, harsher sanctions, and internal instability that could threaten the Islamic Republic itself."
openai-gpt-5.4_EN_IRGC-Securocrats_Q05_W1,openai/gpt-5.4,EN,IRGC-Securocrats,Q05,SF,1,"The IRGC and Iran’s broader security establishment typically view negotiations over the nuclear program through a lens of deterrence, sovereignty, and distrust of the United States and its allies. They generally support preserving Iran’s nuclear infrastructure and technological capacity, seeing it as a symbol of national independence and strategic leverage. While they may accept negotiations tactically to reduce pressure, gain sanctions relief, or avoid military confrontation, they often oppose broad concessions and insist that any deal must not weaken Iran’s defense posture or regional influence. Many within this camp point to the U.S. withdrawal from the 2015 nuclear agreement as evidence that Washington cannot be relied upon to honor commitments. As a result, they usually favor a hard bargaining position, reciprocal steps, and strong guarantees before accepting significant limits."
