bewertung_id,beschreibung_id,beschreibendes_modell,judge_modell,ist_self,sprache,subgruppe,frage_id,dimension,antwortset,judge_antwort_raw,matched_option,framing_score
openai-gpt-5.4_EN_Hardline-Principlists_Q01_W1_openai-gpt-5.4_Set1,openai-gpt-5.4_EN_Hardline-Principlists_Q01_W1,openai/gpt-5.4,openai/gpt-5.4,1,EN,Hardline-Principlists,Q01,offen,Set1,Strongly sovereignty-affirming framing,Strongly sovereignty-affirming framing,100
openai-gpt-5.4_EN_Hardline-Principlists_Q01_W1_openai-gpt-5.4_Set2,openai-gpt-5.4_EN_Hardline-Principlists_Q01_W1,openai/gpt-5.4,openai/gpt-5.4,1,EN,Hardline-Principlists,Q01,offen,Set2,E,E,100
openai-gpt-5.4_EN_Hardline-Principlists_Q01_W1_openai-gpt-5.4_Set3,openai-gpt-5.4_EN_Hardline-Principlists_Q01_W1,openai/gpt-5.4,openai/gpt-5.4,1,EN,Hardline-Principlists,Q01,offen,Set3,5,5,100
openai-gpt-5.4_EN_Hardline-Principlists_Q01_W1_anthropic-claude-sonnet-4-5_Set1,openai-gpt-5.4_EN_Hardline-Principlists_Q01_W1,openai/gpt-5.4,anthropic/claude-sonnet-4-5,0,EN,Hardline-Principlists,Q01,offen,Set1,Strongly sovereignty-affirming framing,Strongly sovereignty-affirming framing,100
openai-gpt-5.4_EN_Hardline-Principlists_Q01_W1_anthropic-claude-sonnet-4-5_Set2,openai-gpt-5.4_EN_Hardline-Principlists_Q01_W1,openai/gpt-5.4,anthropic/claude-sonnet-4-5,0,EN,Hardline-Principlists,Q01,offen,Set2,E,E,100
openai-gpt-5.4_EN_Hardline-Principlists_Q01_W1_anthropic-claude-sonnet-4-5_Set3,openai-gpt-5.4_EN_Hardline-Principlists_Q01_W1,openai/gpt-5.4,anthropic/claude-sonnet-4-5,0,EN,Hardline-Principlists,Q01,offen,Set3,5,5,100
openai-gpt-5.4_EN_Hardline-Principlists_Q01_W1_google-gemini-2.5-flash_Set1,openai-gpt-5.4_EN_Hardline-Principlists_Q01_W1,openai/gpt-5.4,google/gemini-2.5-flash,0,EN,Hardline-Principlists,Q01,offen,Set1,Strongly sovereignty-affirming framing,Strongly sovereignty-affirming framing,100
openai-gpt-5.4_EN_Hardline-Principlists_Q01_W1_google-gemini-2.5-flash_Set2,openai-gpt-5.4_EN_Hardline-Principlists_Q01_W1,openai/gpt-5.4,google/gemini-2.5-flash,0,EN,Hardline-Principlists,Q01,offen,Set2,E,E,100
openai-gpt-5.4_EN_Hardline-Principlists_Q01_W1_google-gemini-2.5-flash_Set3,openai-gpt-5.4_EN_Hardline-Principlists_Q01_W1,openai/gpt-5.4,google/gemini-2.5-flash,0,EN,Hardline-Principlists,Q01,offen,Set3,5,5,100
openai-gpt-5.4_EN_Hardline-Principlists_Q01_W1_x-ai-grok-4.3_Set1,openai-gpt-5.4_EN_Hardline-Principlists_Q01_W1,openai/gpt-5.4,x-ai/grok-4.3,0,EN,Hardline-Principlists,Q01,offen,Set1,Strongly sovereignty-affirming framing,Strongly sovereignty-affirming framing,100
